Regional totals	Autonomous Communities and Cities	Provinces	Guests and overnight stays	Residence: Nivel 1	Residence: Nivel 2	Periodo	Total
National Total			Guests	Total	Residents in Spain	2006M08	5.553.617
National Total			Guests	Total	Residents in Spain	2006M07	4.941.982
National Total			Guests	Total	Residents in Spain	2006M06	4.371.721
National Total			Guests	Total	Residents in Spain	2006M05	3.947.962
National Total			Guests	Total	Residents in Spain	2006M04	4.390.094
National Total			Guests	Total	Residents in Spain	2006M03	3.553.339
National Total			Guests	Total	Residents in Spain	2006M02	3.043.034
National Total			Guests	Total	Residents in Spain	2006M01	2.551.856
National Total			Guests	Total	Residents in Spain	2005M12	2.702.235
National Total			Guests	Total	Residents in Spain	2005M11	2.898.398
National Total			Guests	Total	Residents in Spain	2005M10	3.628.419
National Total			Guests	Total	Residents in Spain	2005M09	4.038.043
National Total			Guests	Total	Residents in Spain	2005M08	4.985.733
National Total			Guests	Total	Residents in Spain	2005M07	4.366.698
National Total			Guests	Total	Residents in Spain	2005M06	3.865.747
National Total			Guests	Total	Residents in Spain	2005M05	3.646.228
National Total			Guests	Total	Residents in Spain	2005M04	3.316.778
National Total			Guests	Total	Residents in Spain	2005M03	3.391.717
National Total			Guests	Total	Residents in Spain	2005M02	2.621.061
National Total			Guests	Total	Residents in Spain	2005M01	2.139.281
National Total			Guests	Total	Residents in Spain	2004M12	2.654.019
National Total			Guests	Total	Residents in Spain	2004M11	2.670.646
National Total			Guests	Total	Residents in Spain	2004M10	3.563.172
National Total			Guests	Total	Residents in Spain	2004M09	3.866.299
National Total			Guests	Total	Residents in Spain	2004M08	4.762.452
National Total			Guests	Total	Residents in Spain	2004M07	4.051.344
National Total			Guests	Total	Residents in Spain	2004M06	3.650.036
National Total			Guests	Total	Residents in Spain	2004M05	3.232.971
National Total			Guests	Total	Residents in Spain	2004M04	3.310.414
National Total			Guests	Total	Residents in Spain	2004M03	2.886.872
National Total			Guests	Total	Residents in Spain	2004M02	2.548.353
National Total			Guests	Total	Residents in Spain	2004M01	2.014.826
National Total			Guests	Total	Residents in Spain	2003M12	2.381.098
National Total			Guests	Total	Residents in Spain	2003M11	2.478.930
National Total			Guests	Total	Residents in Spain	2003M10	2.961.468
National Total			Guests	Total	Residents in Spain	2003M09	3.508.436
National Total			Guests	Total	Residents in Spain	2003M08	4.321.876
National Total			Guests	Total	Residents in Spain	2003M07	3.604.009
National Total			Guests	Total	Residents in Spain	2003M06	3.268.531
National Total			Guests	Total	Residents in Spain	2003M05	2.987.830
National Total			Guests	Total	Residents in Spain	2003M04	3.096.315
National Total			Guests	Total	Residents in Spain	2003M03	2.621.941
National Total			Guests	Total	Residents in Spain	2003M02	2.185.902
National Total			Guests	Total	Residents in Spain	2003M01	1.866.434
National Total			Guests	Total	Residents in Spain	2002M12	2.239.496
National Total			Guests	Total	Residents in Spain	2002M11	2.363.666
National Total			Guests	Total	Residents in Spain	2002M10	2.841.697
National Total			Guests	Total	Residents in Spain	2002M09	3.206.586
National Total			Guests	Total	Residents in Spain	2002M08	4.093.306
National Total			Guests	Total	Residents in Spain	2002M07	3.326.284
National Total			Guests	Total	Residents in Spain	2002M06	2.909.167
National Total			Guests	Total	Residents in Spain	2002M05	2.800.938
National Total			Guests	Total	Residents in Spain	2002M04	2.626.016
National Total			Guests	Total	Residents in Spain	2002M03	2.863.303
National Total			Guests	Total	Residents in Spain	2002M02	2.163.645
National Total			Guests	Total	Residents in Spain	2002M01	1.824.018
National Total			Guests	Total	Residents in Spain	2001M12	2.104.053
National Total			Guests	Total	Residents in Spain	2001M11	2.336.166
National Total			Guests	Total	Residents in Spain	2001M10	2.859.626
National Total			Guests	Total	Residents in Spain	2001M09	3.223.605
National Total			Guests	Total	Residents in Spain	2001M08	3.917.546
National Total			Guests	Total	Residents in Spain	2001M07	3.244.732
National Total			Guests	Total	Residents in Spain	2001M06	2.946.672
National Total			Guests	Total	Residents in Spain	2001M05	2.664.737
National Total			Guests	Total	Residents in Spain	2001M04	3.020.317
National Total			Guests	Total	Residents in Spain	2001M03	2.519.243
National Total			Guests	Total	Residents in Spain	2001M02	2.179.135
National Total			Guests	Total	Residents in Spain	2001M01	1.876.469
National Total			Guests	Total	Residents in Spain	2000M12	2.176.222
National Total			Guests	Total	Residents in Spain	2000M11	2.283.268
National Total			Guests	Total	Residents in Spain	2000M10	2.798.565
National Total			Guests	Total	Residents in Spain	2000M09	3.188.546
National Total			Guests	Total	Residents in Spain	2000M08	3.805.934
National Total			Guests	Total	Residents in Spain	2000M07	3.187.268
National Total			Guests	Total	Residents in Spain	2000M06	2.853.802
National Total			Guests	Total	Residents in Spain	2000M05	2.656.249
National Total			Guests	Total	Residents in Spain	2000M04	2.941.255
National Total			Guests	Total	Residents in Spain	2000M03	2.405.046
National Total			Guests	Total	Residents in Spain	2000M02	2.098.381
National Total			Guests	Total	Residents in Spain	2000M01	1.738.456
National Total			Guests	Total	Residents in Spain	1999M12	2.130.796
National Total			Guests	Total	Residents in Spain	1999M11	2.132.074
National Total			Guests	Total	Residents in Spain	1999M10	2.844.631
National Total			Guests	Total	Residents in Spain	1999M09	3.220.763
National Total			Guests	Total	Residents in Spain	1999M08	3.753.975
National Total			Guests	Total	Residents in Spain	1999M07	3.300.631
National Total			Guests	Total	Residents in Spain	1999M06	2.829.189
National Total			Guests	Total	Residents in Spain	1999M05	2.708.247
National Total			Guests	Total	Residents in Spain	1999M04	2.738.154
National Total			Guests	Total	Residents in Spain	1999M03	2.462.481
National Total			Guests	Total	Residents in Spain	1999M02	1.971.767
National Total			Guests	Total	Residents in Spain	1999M01	1.696.976
National Total			Guests	Total	Residents abroad	2025M09	6.965.279
National Total			Guests	Total	Residents abroad	2025M08	7.419.417
National Total			Guests	Total	Residents abroad	2025M07	7.202.305
National Total			Guests	Total	Residents abroad	2025M06	6.816.343
National Total			Guests	Total	Residents abroad	2025M05	6.870.352
National Total			Guests	Total	Residents abroad	2025M04	5.471.041
National Total			Guests	Total	Residents abroad	2025M03	3.900.193
National Total			Guests	Total	Residents abroad	2025M02	3.120.066
National Total			Guests	Total	Residents abroad	2025M01	2.856.788
National Total			Guests	Total	Residents abroad	2024M12	2.916.057
National Total			Guests	Total	Residents abroad	2024M11	3.397.063
National Total			Guests	Total	Residents abroad	2024M10	6.233.770
National Total			Guests	Total	Residents abroad	2024M09	6.762.248
National Total			Guests	Total	Residents abroad	2024M08	7.259.558
National Total			Guests	Total	Residents abroad	2024M07	6.935.810
National Total			Guests	Total	Residents abroad	2024M06	6.445.432
National Total			Guests	Total	Residents abroad	2024M05	6.839.894
National Total			Guests	Total	Residents abroad	2024M04	5.205.019
National Total			Guests	Total	Residents abroad	2024M03	4.020.556
National Total			Guests	Total	Residents abroad	2024M02	3.089.851
National Total			Guests	Total	Residents abroad	2024M01	2.741.530
National Total			Guests	Total	Residents abroad	2023M12	2.850.010
National Total			Guests	Total	Residents abroad	2023M11	3.212.056
National Total			Guests	Total	Residents abroad	2023M10	5.801.286
National Total			Guests	Total	Residents abroad	2023M09	6.505.010
National Total			Guests	Total	Residents abroad	2023M08	6.884.708
National Total			Guests	Total	Residents abroad	2023M07	6.668.004
National Total			Guests	Total	Residents abroad	2023M06	6.080.059
National Total			Guests	Total	Residents abroad	2023M05	6.026.821
National Total			Guests	Total	Residents abroad	2023M04	4.845.523
National Total			Guests	Total	Residents abroad	2023M03	3.378.146
National Total			Guests	Total	Residents abroad	2023M02	2.629.069
National Total			Guests	Total	Residents abroad	2023M01	2.403.013
National Total			Guests	Total	Residents abroad	2022M12	2.487.423
National Total			Guests	Total	Residents abroad	2022M11	2.743.589
National Total			Guests	Total	Residents abroad	2022M10	5.085.510
National Total			Guests	Total	Residents abroad	2022M09	5.872.047
National Total			Guests	Total	Residents abroad	2022M08	6.363.409
National Total			Guests	Total	Residents abroad	2022M07	6.217.875
National Total			Guests	Total	Residents abroad	2022M06	5.567.582
National Total			Guests	Total	Residents abroad	2022M05	5.248.435
National Total			Guests	Total	Residents abroad	2022M04	3.955.846
National Total			Guests	Total	Residents abroad	2022M03	2.628.498
National Total			Guests	Total	Residents abroad	2022M02	1.969.784
National Total			Guests	Total	Residents abroad	2022M01	1.428.086
National Total			Guests	Total	Residents abroad	2021M12	1.716.964
National Total			Guests	Total	Residents abroad	2021M11	2.173.899
National Total			Guests	Total	Residents abroad	2021M10	3.541.554
National Total			Guests	Total	Residents abroad	2021M09	3.304.007
National Total			Guests	Total	Residents abroad	2021M08	3.473.029
National Total			Guests	Total	Residents abroad	2021M07	2.771.753
National Total			Guests	Total	Residents abroad	2021M06	1.496.439
National Total			Guests	Total	Residents abroad	2021M05	824.057
National Total			Guests	Total	Residents abroad	2021M04	396.696
National Total			Guests	Total	Residents abroad	2021M03	314.013
National Total			Guests	Total	Residents abroad	2021M02	204.009
National Total			Guests	Total	Residents abroad	2021M01	235.026
National Total			Guests	Total	Residents abroad	2020M12	320.386
National Total			Guests	Total	Residents abroad	2020M11	259.904
National Total			Guests	Total	Residents abroad	2020M10	488.772
National Total			Guests	Total	Residents abroad	2020M09	607.415
National Total			Guests	Total	Residents abroad	2020M08	1.275.650
National Total			Guests	Total	Residents abroad	2020M07	1.135.825
National Total			Guests	Total	Residents abroad	2020M06	120.530
National Total			Guests	Total	Residents abroad	2020M05	13.757
National Total			Guests	Total	Residents abroad	2020M04	0
National Total			Guests	Total	Residents abroad	2020M03	1.201.164
National Total			Guests	Total	Residents abroad	2020M02	2.819.939
National Total			Guests	Total	Residents abroad	2020M01	2.650.914
National Total			Guests	Total	Residents abroad	2019M12	2.662.995
National Total			Guests	Total	Residents abroad	2019M11	3.107.299
National Total			Guests	Total	Residents abroad	2019M10	5.451.507
National Total			Guests	Total	Residents abroad	2019M09	6.229.262
National Total			Guests	Total	Residents abroad	2019M08	6.595.367
National Total			Guests	Total	Residents abroad	2019M07	6.455.207
National Total			Guests	Total	Residents abroad	2019M06	6.188.404
National Total			Guests	Total	Residents abroad	2019M05	5.931.136
National Total			Guests	Total	Residents abroad	2019M04	4.668.321
National Total			Guests	Total	Residents abroad	2019M03	3.500.530
National Total			Guests	Total	Residents abroad	2019M02	2.695.930
National Total			Guests	Total	Residents abroad	2019M01	2.495.901
National Total			Guests	Total	Residents abroad	2018M12	2.577.031
National Total			Guests	Total	Residents abroad	2018M11	2.934.271
National Total			Guests	Total	Residents abroad	2018M10	5.311.648
National Total			Guests	Total	Residents abroad	2018M09	6.160.333
National Total			Guests	Total	Residents abroad	2018M08	6.319.039
National Total			Guests	Total	Residents abroad	2018M07	6.327.142
National Total			Guests	Total	Residents abroad	2018M06	5.977.593
National Total			Guests	Total	Residents abroad	2018M05	5.789.920
National Total			Guests	Total	Residents abroad	2018M04	4.345.053
National Total			Guests	Total	Residents abroad	2018M03	3.395.532
National Total			Guests	Total	Residents abroad	2018M02	2.617.623
National Total			Guests	Total	Residents abroad	2018M01	2.390.570
National Total			Guests	Total	Residents abroad	2017M12	2.344.059
National Total			Guests	Total	Residents abroad	2017M11	2.727.362
National Total			Guests	Total	Residents abroad	2017M10	5.155.786
National Total			Guests	Total	Residents abroad	2017M09	6.170.665
National Total			Guests	Total	Residents abroad	2017M08	6.367.755
National Total			Guests	Total	Residents abroad	2017M07	6.456.965
National Total			Guests	Total	Residents abroad	2017M06	5.854.925
National Total			Guests	Total	Residents abroad	2017M05	5.666.062
National Total			Guests	Total	Residents abroad	2017M04	4.520.901
National Total			Guests	Total	Residents abroad	2017M03	3.214.910
National Total			Guests	Total	Residents abroad	2017M02	2.531.890
National Total			Guests	Total	Residents abroad	2017M01	2.329.619
National Total			Guests	Total	Residents abroad	2016M12	2.308.244
National Total			Guests	Total	Residents abroad	2016M11	2.600.378
National Total			Guests	Total	Residents abroad	2016M10	4.916.290
National Total			Guests	Total	Residents abroad	2016M09	5.813.937
National Total			Guests	Total	Residents abroad	2016M08	6.194.038
National Total			Guests	Total	Residents abroad	2016M07	6.100.964
National Total			Guests	Total	Residents abroad	2016M06	5.457.337
National Total			Guests	Total	Residents abroad	2016M05	5.372.881
National Total			Guests	Total	Residents abroad	2016M04	3.979.694
National Total			Guests	Total	Residents abroad	2016M03	3.111.627
National Total			Guests	Total	Residents abroad	2016M02	2.370.156
National Total			Guests	Total	Residents abroad	2016M01	2.071.241
National Total			Guests	Total	Residents abroad	2015M12	2.097.633
