Provinces	Travellers and overnight stays	Residence	Periodo	Total
02 Albacete	Guests	Residents abroad	2019M06	77
02 Albacete	Guests	Residents abroad	2019M05	43
02 Albacete	Guests	Residents abroad	2019M04	29
02 Albacete	Guests	Residents abroad	2019M03	25
02 Albacete	Guests	Residents abroad	2019M02	12
02 Albacete	Guests	Residents abroad	2019M01	23
02 Albacete	Guests	Residents abroad	2018M12	16
02 Albacete	Guests	Residents abroad	2018M11	3
02 Albacete	Guests	Residents abroad	2018M10	30
02 Albacete	Guests	Residents abroad	2018M09	45
02 Albacete	Guests	Residents abroad	2018M08	47
02 Albacete	Guests	Residents abroad	2018M07	30
02 Albacete	Guests	Residents abroad	2018M06	117
02 Albacete	Guests	Residents abroad	2018M05	37
02 Albacete	Guests	Residents abroad	2018M04	8
02 Albacete	Guests	Residents abroad	2018M03	24
02 Albacete	Guests	Residents abroad	2018M02	91
02 Albacete	Guests	Residents abroad	2018M01	26
02 Albacete	Guests	Residents abroad	2017M12	17
02 Albacete	Guests	Residents abroad	2017M11	34
02 Albacete	Guests	Residents abroad	2017M10	34
02 Albacete	Guests	Residents abroad	2017M09	27
02 Albacete	Guests	Residents abroad	2017M08	23
02 Albacete	Guests	Residents abroad	2017M07	17
02 Albacete	Guests	Residents abroad	2017M06	27
02 Albacete	Guests	Residents abroad	2017M05	27
02 Albacete	Guests	Residents abroad	2017M04	17
02 Albacete	Guests	Residents abroad	2017M03	81
02 Albacete	Guests	Residents abroad	2017M02	4
02 Albacete	Guests	Residents abroad	2017M01	7
02 Albacete	Guests	Residents abroad	2016M12	7
02 Albacete	Guests	Residents abroad	2016M11	0
02 Albacete	Guests	Residents abroad	2016M10	12
02 Albacete	Guests	Residents abroad	2016M09	23
02 Albacete	Guests	Residents abroad	2016M08	0
02 Albacete	Guests	Residents abroad	2016M07	4
02 Albacete	Guests	Residents abroad	2016M06	0
02 Albacete	Guests	Residents abroad	2016M05	26
02 Albacete	Guests	Residents abroad	2016M04	20
02 Albacete	Guests	Residents abroad	2016M03	0
02 Albacete	Guests	Residents abroad	2016M02	0
02 Albacete	Guests	Residents abroad	2016M01	0
02 Albacete	Guests	Residents abroad	2015M12	0
02 Albacete	Guests	Residents abroad	2015M11	0
02 Albacete	Guests	Residents abroad	2015M10	29
